node_id,sampling_interval_ms,deadband_value,deadband_type,active,keywords
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_mLTMb_GUFNSMCxgd,100,88,ABSOLUTE,1,[3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_nZgxY_KpzLInThrt,500,88,ABSOLUTE,1,[2; 3; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AK_KbqeJ_rXmGCTiyFA,500,88,ABSOLUTE,0,[3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AK_NQUMj_ZfTcNigrRM,100,9,RELATIVE,0,[3; 4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AK_apHvh_dfQjBvFIto,1000,88,ABSOLUTE,1,[4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AK_csnPX_IOlFLUAmJE,500,,,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AK_whodz_YkNbGqXyPW,500,9,RELATIVE,1,[1; 2; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AL_PKwrg_dJwMbgZHIc,1000,9,RELATIVE,1,[1; 2; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AL_SeoUQ_WYSlVrdbJp,500,,,0,[3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AL_UzIDx_EysDFQgOln,1000,,,1,[1; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AL_XcREG_EBWmhuNjXR,500,88,ABSOLUTE,0,[5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AL_fOndt_KEPXQlFdRS,500,88,ABSOLUTE,1,[3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AL_hweym_WCUmZEwaoq,100,88,ABSOLUTE,1,[4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AL_jpVmY_wUblqWMyIg,500,,,1,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AL_nQjNe_jIRdkTYWvz,1000,,,0,[5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AL_rtwpq_IhmiJUTcXA,1000,9,RELATIVE,0,[5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AM_TOGiv_QshVcxKBIJ,100,9,RELATIVE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AM_VGedp_QznFtqwXcH,100,88,ABSOLUTE,1,[5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AM_VmAUO_FUofCSPrGp,500,9,RELATIVE,1,[1; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AM_XIeru_BAcizmogaE,500,9,RELATIVE,1,[2; 3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AM_jCWUF_VRkhNUYIqZ,100,88,ABSOLUTE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AM_uqKfO_clPSnqURpI,1000,9,RELATIVE,0,[1; 2; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AN_COsXZ_DcfnieZJwU,1000,,,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AN_VeigM_NSZpsAIlEk,1000,9,RELATIVE,1,[4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AN_emHqP_olcIrLgwyq,1000,88,ABSOLUTE,0,[1; 4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AN_enFvZ_XdMZsFqIaD,100,,,0,[1; 4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AN_gsnWy_wZHYxREfjd,500,,,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AN_pbhaI_HPINzjRiwn,1000,9,RELATIVE,0,[3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AN_wFRHd_tojROEsQfS,1000,88,ABSOLUTE,1,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AN_yIlXr_rGXUjgTDEB,500,88,ABSOLUTE,1,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AO_OuojI_vVEHTuCNMD,500,88,ABSOLUTE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AO_RzQcs_gHPoFmndLG,100,,,1,[1; 4]

ns=6;s=StarGateway:Shaco.Jinx.CU.AP_NHLFJ_dCzJNqAhDk,100,9,RELATIVE,1,[5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AP_Prmho_aAuKzZnpHL,500,,,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AP_qbrBa_YJNkRhteay,500,9,RELATIVE,0,[1; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AQ_BfzyN_xOUMKuLXHl,1000,,,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AQ_GMOgp_uywvSmFQTs,100,88,ABSOLUTE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AQ_ScFti_vDUoZiVHTg,100,88,ABSOLUTE,0,[1]
ns=6;s=StarGateway:Shaco.Jinx.CU.AQ_WZMpK_WZVexhadju,500,88,ABSOLUTE,1,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AQ_mPukc_gHLKOjJxPG,1000,,,0,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AQ_qLcjk_zHprEChyxf,1000,9,RELATIVE,1,[1; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AR_DWxTa_MyBOJjmRUX,100,,,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AR_EcLCt_LcDHWUyzPb,500,88,ABSOLUTE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AR_RWSNO_cqzXsSdwIk,100,88,ABSOLUTE,1,[1; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AR_sQbVX_CYriyIJAnp,100,88,ABSOLUTE,1,[5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AR_toQmy_bgUlSrmTDW,100,88,ABSOLUTE,0,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AS_LzOGa_MGNxnVEdXv,1000,88,ABSOLUTE,1,[5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AS_USeYX_IWKkQMrsia,500,,,0,[2; 3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AS_WNGjm_iMbdJLmUqR,100,,,1,[4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AS_ZUfIJ_yoEsnxcPKf,1000,,,1,[2; 3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AT_FvbTi_TbaJcHWdxr,1000,,,1,[4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AT_VaTuf_xQqyuRlTsP,100,88,ABSOLUTE,0,[1]
ns=6;s=StarGateway:Shaco.Jinx.CU.AU_JArPw_uDniPNolTf,1000,9,RELATIVE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AU_JfQMI_udvXSbGskr,1000,88,ABSOLUTE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AU_cjzLV_YfEgyTxlJU,1000,88,ABSOLUTE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AU_dVaIp_pianDcgqwT,100,9,RELATIVE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AU_eJPUa_sCDIpfhiNt,100,9,RELATIVE,0,[1; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AV_Okehu_yiZhnNaVld,500,,,1,[1; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AV_UZNou_TuVetWPavl,100,88,ABSOLUTE,0,[3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AV_aBYMJ_HRxFqAPeKT,100,9,RELATIVE,0,[2; 3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AV_mfYir_hAoFUnsXad,1000,,,1,[1; 2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AV_uPDzd_uqjENwrQTZ,1000,88,ABSOLUTE,0,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AV_vkpZf_AUVIOjLNtq,500,88,ABSOLUTE,0,[1]
ns=6;s=StarGateway:Shaco.Jinx.CU.AW_BPhrz_KXPiTEuHNr,1000,,,1,[3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AW_FZKpQ_gzopheLXGf,500,,,0,[4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AW_HWUcj_YicNtvZpbM,500,,,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AW_LbunX_flHMneAhIS,500,9,RELATIVE,0,[1; 2; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AW_UZgxy_zbSQHrxkOp,500,9,RELATIVE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AW_YVrsS_bcXFnrkHqL,500,,,0,[2; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AW_adpWm_NgUaCrupSH,100,88,ABSOLUTE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AW_mQBCt_REvBxWqspa,100,9,RELATIVE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AW_qcSNV_ygQEjJHGIv,500,9,RELATIVE,1,[5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AW_reWXF_qsmiKWNORV,100,9,RELATIVE,1,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AX_KOPoE_yINdSRmCBG,1000,9,RELATIVE,0,[2; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AX_TlKbB_ldKLysfSzW,100,88,ABSOLUTE,1,[1; 2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AX_bzdQx_lbLQymtNUV,500,9,RELATIVE,0,[2; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AX_hpIny_cuXiBwaKlF,500,9,RELATIVE,1,[3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_GhqZb_IRrmDxzLAH,100,88,ABSOLUTE,0,[4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_IjgbY_lsfqbGaoRc,100,,,0,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_Oqekp_IHSxVTOiJy,1000,88,ABSOLUTE,0,[1; 2; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_QREHC_TJYgfENCdz,500,88,ABSOLUTE,0,[1; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_WoHGC_PHuqlroWTi,1000,9,RELATIVE,0,[1]
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_YrkAR_iUJBQGNlSo,500,,,0,[4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_bdtlK_NQMOZJydrI,1000,,,0,[3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_uRZrd_BmkahXHblI,100,88,ABSOLUTE,1,[4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_vkdha_SknfIRYaNu,100,9,RELATIVE,0,[4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_JrCVA_zyuxMpKSgs,1000,88,ABSOLUTE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_ezxCV_FOxvubtfPR,1000,,,1,[2; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_fRdrb_mcotnOGzbg,1000,88,ABSOLUTE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_gvsER_RvzEBxwCIg,100,9,RELATIVE,1,[3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_sDhPY_utxDeNsBco,1000,9,RELATIVE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Aa_Bkncg_LoCbAGaHni,500,,,0,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.Aa_FWhiz_pGhLvkrmXf,500,,,1,[2; 3; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Aa_nApgZ_rARuitUYTC,1000,9,RELATIVE,0,[2; 3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.Aa_sbXWm_BMEIXLwZVD,100,9,RELATIVE,1,[2; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.Aa_seLXv_FYDwmVzfyK,100,88,ABSOLUTE,1,[1; 2; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.Aa_vFkCK_onQeTRCWMt,500,,,1,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.Aa_xJjKW_CDugjJNhxV,1000,,,0,[3; 4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ab_PKzCD_hAXpqwJvOy,500,9,RELATIVE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ab_Yxduh_ERFCvnGWLY,500,9,RELATIVE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ab_cUnXF_xlnMzKQFyL,1000,,,0,[1; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ab_mBRUx_cFgEqYCdQy,1000,,,0,[3; 4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ac_IQrtG_ANXIKmawLk,100,88,ABSOLUTE,0,[2; 3; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ac_MjyrP_tJWdAoMrvi,1000,9,RELATIVE,0,[1; 2]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ac_iUfEt_hYxMkFDtIB,100,9,RELATIVE,0,[2; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ac_kRCnB_tWGcbeoHpD,500,9,RELATIVE,0,[1; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ac_lNpon_TtuxVXFCGq,500,,,1,[1]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ac_rMGWg_WRHZatkNnF,1000,88,ABSOLUTE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_KTYQj_fLwQsmWASj,100,9,RELATIVE,1,[1; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_Yezln_bxhQnjFBdt,100,88,ABSOLUTE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_aZPdq_nLlKFGsWIb,1000,9,RELATIVE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_bSIYM_RwNADxIQhY,1000,88,ABSOLUTE,0,[1; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_bwygX_HvlmZRDCIi,1000,88,ABSOLUTE,1,[2; 3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_hgUWy_AimZNvIngo,500,,,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_hjoyX_hLSNagVnvd,1000,9,RELATIVE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_sFOBL_mqeJKWAzDG,500,,,1,[1; 2; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_vfHJT_EWAPJDKcds,100,,,0,[3]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ae_FOrZq_HndkiAVRMD,500,,,0,[1; 2; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ae_GVOve_vuRXBTOMZP,1000,88,ABSOLUTE,1,[2; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ae_ThukQ_qvQIXKeoCS,100,9,RELATIVE,1,[1; 4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ae_UeGXB_wCVegaybFr,100,88,ABSOLUTE,0,[1; 2]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ae_xAkRZ_mMnWZqejYP,1000,9,RELATIVE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ae_zDZpM_snUHbwizKg,1000,,,1,[1; 2; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Af_Bnvpe_JhtquzLacR,1000,9,RELATIVE,1,[4]
ns=6;s=StarGateway:Shaco.Jinx.CU.Af_Cuwmo_qPjzgBMGhQ,100,9,RELATIVE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Af_PuUdy_mSTtoJFHkW,100,88,ABSOLUTE,1,[2; 3; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Af_eYyhs_QLnXopjeOY,100,,,0,[1; 4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Af_pMoNu_gKYzhWjNAZ,500,88,ABSOLUTE,0,[3; 4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ag_RFTeE_MHNEkGbuAq,500,,,1,[1]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ag_sJcWA_RCavjJizXo,1000,88,ABSOLUTE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ag_xjuYc_NACIcijzmb,1000,88,ABSOLUTE,0,[5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ah_EOFYX_aelJwAupTo,1000,,,1,[3; 4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ah_SYLpF_DeHgiZxzIa,100,9,RELATIVE,0,[1; 2; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ah_zhQCp_mXFpfMWheE,1000,,,0,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ai_ALNmx_WESxPTFjlO,100,9,RELATIVE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ai_IrNUp_WlzOpuqXFn,500,9,RELATIVE,1,[4]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ai_lFXUi_YtaihIQEMA,100,,,1,[1; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ai_qsaJu_acWZJAGqVj,100,88,ABSOLUTE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Aj_EtusL_DWpwdbGEzP,500,9,RELATIVE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Aj_FsUwl_hnbaISGwmN,1000,,,0,[3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.Aj_JOVpD_OcLDXtmJoF,1000,88,ABSOLUTE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Aj_cnigw_RAnpsJbFHy,500,9,RELATIVE,1,[1; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.Aj_pUgZu_tAlKYfhPCF,100,,,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Aj_uJnAV_zScMOTsnQd,100,88,ABSOLUTE,1,[1; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ak_GtkzQ_LxUfynFHhC,500,9,RELATIVE,0,[1; 2; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ak_MWLQv_qIkWBKEpQl,500,9,RELATIVE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ak_izAus_FaLkeZYDHU,500,,,1,[3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.Al_GUSTs_zfqveITLZC,1000,,,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Al_XGqSD_vKRsBVxLAX,1000,,,0,[1; 2; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.Al_qnoHT_DoaWqKETux,100,88,ABSOLUTE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Al_qxVmD_sCMaYqGXjo,500,9,RELATIVE,1,[1; 2; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.Al_vLKeg_zSxwdWeknZ,100,,,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Am_JvkLR_TmvPyHGnBM,1000,,,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.Am_VsNvC_mTFtwSBbeO,1000,9,RELATIVE,1,[2; 4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Am_WmUsg_KINBldJkoQ,500,,,0,[3]
ns=6;s=StarGateway:Shaco.Jinx.CU.Am_Xnpao_ZclXTKzICh,100,88,ABSOLUTE,0,[5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Am_dMVsH_TaMJCmlXoj,500,,,1,[1; 2; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.An_EbmBh_DWzicyYljU,100,88,ABSOLUTE,0,[1; 4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.An_LkYsN_OzMlFuErqI,1000,88,ABSOLUTE,1,[2; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.An_VZQDg_maXbvildCu,100,88,ABSOLUTE,0,[2; 3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.An_cOEau_kRqFfDjWON,1000,,,0,[1; 2; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.An_xDAfX_hqmLpIsrZF,100,,,0,[3]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ao_MxFva_hZXCsoAygz,500,,,1,[1; 3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ao_TfncA_ykglLnxIsB,1000,9,RELATIVE,0,[3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ao_hlGng_ubHWBnJFDA,100,88,ABSOLUTE,1,[2; 4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ao_wIQvV_xvUMOFCbku,1000,88,ABSOLUTE,0,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.Ap_Mgfje_gGtIHuBkTa,100,9,RELATIVE,0,[]
